Premises Name|Address|postcode|Local Authority|Type|Products Sold|Company Name|Status
Lochpark carluke|18 lanark road,  ML8 4HE|ML8 4HE|South Lanarkshire|Convenience Store|Tobacco Only|Lochpark grociers carluke|Inactive
lochpots chip shop|unit 1, Buchan Road AB43 9UG|AB43 9UG|Aberdeenshire|Other Catering|Tobacco Only|Lochpots chip shop|Inactive
Lochs Services|Cameron Terrace, Leurebost HS2 9PE|HS2 9PE|Comhairle nan Eilean Siar|Forecourt Garage|Tobacco Only|Angus Campbell Ltd|Active
lochside cafe|34 lochside road dumfries scotland,  DG2 0LW|DG2 0LW|Dumfries and Galloway|Other Retail|Tobacco Only|lochside cafe|Active
Lochside Cafe|7 Lochside Place,  EH12 9DF|EH12 9DF|East Lothian, Midlothian, West Lothian|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|S&M brothers ltd|Inactive
Lochside House Hotel|Near New Cumnock,  KA18 4PN|KA18 4PN|East Ayrshire|Hotel|Tobacco Only|rad limited|Active
Lochside Stores|North Lochside,  ZE1 0PD|ZE1 0PD|Shetland Islands|Convenience Store|Tobacco Only|Lochside Stores|Inactive
Lockerbie Lorry Park|Hangingshaw Farm, Johnstonebridge DG11 2SL|DG11 2SL|Dumfries and Galloway|Convenience Store|Tobacco And Nicotine Vapour Products|lockerbie lorry park|Active
Lockerbie TOFS Store|Main Street,  DG11 2DG|DG11 2DG|Dumfries and Galloway|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|The Original Factory Shop|Inactive
Lockett Bros|133 High Street,  EH39 4HB|EH39 4HB|East Lothian|Off-Licence|Tobacco Only|Lockett Bros Ltd|Active
LOCO|2 Main Street, Cairnbulg AB43 8YJ|AB43 8YJ|Aberdeenshire|Convenience Store|Tobacco Only|Techmuiry Limited|Inactive
loco|1956 to 1962 dumbarton road, Glasgow G14 0HH|G14 0HH|Glasgow City|Off-Licence|Tobacco Only|petel trading ltd|Active
Loco|Nisa Local, 96 Lochbridge Road EH39 4DP|EH39 4DP|East Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|NISA Local|Active
Loco|168-172 St Clair Street,  KY1 2DG|KY1 2DG|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|Eros Retail Ltd|Active
Loco Convenience Store and Post Office|2 Main Street, Cianbulg AB43 8YJ|AB43 8YJ|Aberdeenshire|Convenience Store|Tobacco And Nicotine Vapour Products|Loco Convenience Store and Post Office|Active
Loco Saxon Road|55 Saxon Road,  G13 2YQ|G13 2YQ|Glasgow City|Convenience Store|Tobacco Only|LOCO SAXON ROAD|Active
LoCost|56 Saughton Mains Garden,  EH11 3GN|EH11 3GN|Edinburgh City|Convenience Store|Tobacco Only|Lo Cost|Active
Logans Ice Candy Truck|15-21 Southburn Road,  ML6 9AD|ML6 9AD|North Lanarkshire|Mobile Trade|Tobacco Only|Logan's Ice Candy Truck|Inactive
Logie Recreation Club|1 marybank lane,  DD2 3DY|DD2 3DY|Dundee City|Private Club|Tobacco Only|logie recreation club|Inactive
Logie Whisky and Wine Shop|Unit 3, Logie Steading IV36 2QN|IV36 2QN|Moray|Off-Licence|Tobacco Only|R and S Duncan|Active
Logies Ices|230 Niddrie Mains Road,  EH16 4SQ|EH16 4SQ|Edinburgh City|Mobile Trade|Tobacco Only|Logies Ices|Active
Lola Lo|43b Frederick Street,  EH2 1EP|EH2 1EP|Edinburgh City|Nightclub|Tobacco Only|Eclectic Bars Limited|Inactive
LOMOND NEWSAGENTS|Lomond Newsagents, 61 Lomond Drive, Bishopbriggs G64 3BY|G64 3BY|East Dunbartonshire|Convenience Store|Tobacco Only|LOMOND NEWSAGENTS|Active
Lomond Park Hotel|Balloch Road, Balloch G83 8SR|G83 8SR|West Dunbartonshire|Hotel|Tobacco Only|Lomond Park Hotel|Active
Lomond Service Station|200 Main Street, Jamestown G83 8PW|G83 8PW|West Dunbartonshire|Forecourt Garage|Tobacco Only|H I A Investments Limited|Active
Lomond Stores|19 Balloch Road, Balloch G83 8SR|G83 8SR|West Dunbartonshire|Convenience Store|Tobacco And Nicotine Vapour Products|Lomond Stores Limited|Active
Lomondgate Service Station|Lomondgate Drive,  G82 3BN|G82 3BN|West Dunbartonshire|Forecourt Garage|Tobacco Only|Eurogarages Ltd|Active
Lomondview Stores|Main Street, Gartocharn G83 8RX|G83 8RX|West Dunbartonshire|Convenience Store|Tobacco And Nicotine Vapour Products|Lomondview Stores|Active
LONDIES BP PFS|91 BURNBANK ROAD,  ML3 9AN|ML3 9AN|South Lanarkshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|MASS LUBRICANTS LTD|Active
LONDIES BP PFS|91 BURNBANK ROAD,  ML3 9AN|ML3 9AN|South Lanarkshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|MASS LUBRICANTS LTD|Inactive
LONDIS|233 Glasgow Road, Blantyre G72 0YS|G72 0YS|South Ayrshire, South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Jki Scotland Ltd|Active
LONDIS|71/73 ROSEBANK TERRACE, BARGEDDIE, LANARKSHIRE G69 7SG|G69 7SG|North Lanarkshire|Convenience Store|Tobacco Only|SHOP'N'SAVE BARGEDDIE|Inactive
londis|120 FERNSLEA AVENUE, BLANTYRE, LANARKSHIRE G72 9PT|G72 9PT|South Lanarkshire|Convenience Store|Tobacco Only|LONDIS BLANTYRE|Inactive
Londis |220 HAMILTON ROAD,  ML1 3DR|ML1 3DR|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|RN trade ltd |Active
LONDIS|1 GLEN ROAD, PETERSBURN AIRDIRE ML6 8BN|ML6 8BN|North Lanarkshire|Convenience Store|Tobacco Only|MOHAMMED ALI|Inactive
Londis|25 Brougham Street,  PA16 8AB|PA16 8AB|Inverclyde|Convenience Store|Tobacco And Nicotine Vapour Products|Londis|Inactive
Londis|695 Dumbarton Road,  G81 4HD|G81 4HD|West Dunbartonshire|Convenience Store|Tobacco Only|Londis|Active
Londis|58-60 thornton road,  ML11 9QE|ML11 9QE|South Lanarkshire|Off-Licence|Tobacco And Nicotine Vapour Products|Londis|Active
Londis|122 High Street,  K73 9AP|K73 9AP|Fife|Convenience Store|Tobacco Only|Londis|Inactive
Londis|146 West Main Street,  EH47 0QR|EH47 0QR|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Londis|Inactive
LONDIS|74 MAIN ST, UDDINGSTON G71 7LR|G71 7LR|South Lanarkshire|Convenience Store|Tobacco Only|IRFAN SUPERSTORE (LONDIS)|Inactive
Londis|5 Blackhouse Terrace,  AB42 1LR|AB42 1LR|Aberdeenshire|Convenience Store|Tobacco And Nicotine Vapour Products|Blackhouse Peterhead Ltd|Inactive
Londis|201-203 The Loaning,  ML1 3LN|ML1 3LN|North Lanarkshire|Convenience Store|Tobacco Only|Londis|Inactive
Londis|Unit 3, Main Street ML1 5QN|ML1 5QN|North Lanarkshire|Convenience Store|Tobacco Only|Londis|Inactive
Londis|18 Woodburn Street,  FK2 9DS|FK2 9DS|Falkirk|Convenience Store|Tobacco Only|Londis|Active
Londis|70 - 74 Inverkip Road, Greenock PA16 9AP|PA16 9AP|Inverclyde|Convenience Store|Tobacco And Nicotine Vapour Products|John McEleny/Londis|Inactive
LONDIS|4 DUNVEGAN QUADRANT,  PA4 9BS|PA4 9BS|Renfrewshire|Convenience Store|Tobacco Only|MALA DEEPAK ROHRA T/A LONDIS|Inactive
LONDIS|30 EAST MAIN STREET, BLACKBURN EH47 7QU|EH47 7QU|West Lothian|Convenience Store|Tobacco Only|J & Z IQBAL T/A LONDIS BLACKBURN|Inactive
Londis|50  Mariner Street, Camelon FK1 4LF|FK1 4LF|Falkirk|Convenience Store|Tobacco Only|Londis|Inactive
londis|119 gartsherrie road, gartsherrie road ML5 2EU|ML5 2EU|North Lanarkshire|Convenience Store|Tobacco Only|enjoy inns|Inactive
Londis|1 glassford street,  ML1 2BE|ML1 2BE|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|n & a ghaffar limited|Active
Londis|108-112 Drip Road,  FK8 1RN|FK8 1RN|Stirling|Convenience Store|Tobacco Only|Londis|Inactive
LONDIS|61 ELMBANK DRIVE, BONHILL G83 9EL|G83 9EL|West Dunbartonshire|Convenience Store|Tobacco Only|KIPPEN DAIRY|Active
LONDIS|76 DALRY ROAD,  EH11 2AX|EH11 2AX|Edinburgh City|Convenience Store|Tobacco Only|HAROON ENTERPRISES LIMITED|Inactive
Londis|25 Whitehill street, Dennistoun G31 2LH|G31 2LH|Glasgow City|Convenience Store|Tobacco Only|Londis|Active
Londis|7-9 Church Road,  KY11 1LG|KY11 1LG|Fife|Convenience Store|Tobacco Only|Londis|Inactive
Londis|55 Drumilaw Road,  G73 4NS|G73 4NS|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Londis|Inactive
LONDIS|74 MAIN STREET,  G71 7LR|G71 7LR|Glasgow City|Supermarket and Other Retail Outlets|Tobacco Only|LONDIS|Inactive
Londis|2 centre street glenboig,  ML5 2RY|ML5 2RY|North Lanarkshire|Convenience Store|Tobacco Only|a+k munir|Active
LONDIS |74 MAIN STREET,  G71 7LR|G71 7LR|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Londis|Active
londis|18 bedford avenue,  AB24 3YR|AB24 3YR|Aberdeen City|Convenience Store|Tobacco And Nicotine Vapour Products|Londis|Active
LONDIS |Aslams Store, Unit 3, Main Street, Cleland ML1 5QN|ML1 5QN|North Lanarkshire|Off-Licence|Tobacco And Nicotine Vapour Products|Londis |Active
Londis|146 West Main Street, Whitburn EH47 0QR|EH47 0QR|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Sharif Store West Calder LTD|Active
Londis |Post Office, 52 Muir Street ML1 1BN|ML1 1BN|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|RN trade ltd |Active
Londis|Premier Food News & Wine, 18 Woodburn Street FK2 9DS|FK2 9DS|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|Londis|Active
Londis|Post Office, 18-20 Dubbs Road PA14 5UA|PA14 5UA|Inverclyde|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Londis Dubbs Road|Active
Londis|Premier Stores, 18 East Crawford Street PA15 2DZ|PA15 2DZ|Inverclyde|Off-Licence|Tobacco And Nicotine Vapour Products|Khan 1 LTD|Inactive
Londis|58 Thornton Road, Kirkmuirhill ML11 9QE|ML11 9QE|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Londis|Active
Londis|Londis Store, 92 Montague Street, Rothesay PA20 0HJ|PA20 0HJ|Argyll and Bute|Convenience Store|Tobacco And Nicotine Vapour Products|Londis Rothesay|Active
Londis |Uppals Queen Margaret Store, 86-88 Queen Margaret Drive G20 8NZ|G20 8NZ|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|VR Private Limiy|Active
londis|murray house, high street DG13 0JH|DG13 0JH|Dumfries and Galloway|Convenience Store|Tobacco And Nicotine Vapour Products|LONDIS SUPERMARKET|Active
Londis|Browns Newsagents, 91 Urquhart Road AB24 5ND|AB24 5ND|Aberdeen City|Convenience Store|Tobacco And Nicotine Vapour Products|Desa Trading Ltd|Active
Londis (Fair Price Food Store)|22 Craigside Road, Cardenden KY5 0LG|KY5 0LG|Fife|Other Retail|Tobacco Only|Londis (Fair Price Food Store)|Inactive
londis aberfeldy stores|Post Office, 17-19 Dunkeld Street PH15 2AA|PH15 2AA|Perth and Kinross|Convenience Store|Tobacco And Nicotine Vapour Products|londis aberfeldy stores|Active
Londis Bainsford |114-116 Main Street, Bainsford FK2 7PA|FK2 7PA|Falkirk|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|stuffs2u retail ltd|Active
londis brediland|198 brediland rd,  PA2 0SA|PA2 0SA|Renfrewshire|Convenience Store|Tobacco And Nicotine Vapour Products|londis brediland rd|Active
Londis Cathcart|Londis Cathcart, 67 Clarkston Road G44 3BQ|G44 3BQ|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Londis Cathcart|Active
Londis Central|206-210 Albert Drive, Pollokshields G41 2NJ|G41 2NJ|Glasgow City|Convenience Store|Tobacco Only|Ahmed & Ahmed, t/a Londis Central|Active
londis central (food and wine)|Londis Central, 206-210 Albert Drive G41 2NJ|G41 2NJ|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Ratshi ltd|Active
Londis Colvend|Lochend, A710 Colvend DG5 4QD|DG5 4QD|Dumfries and Galloway|Convenience Store|Tobacco And Nicotine Vapour Products|Firm of P&R Hodgson|Active
Londis Corner Market|3 Clovenstone Park,  EH14 3BG|EH14 3BG|Edinburgh City|Convenience Store|Tobacco Only|Vivo Corner Market Ltd.|Active
Londis Cowie|32B Main Street, Cowie FK7 7BL|FK7 7BL|Stirling|Convenience Store|Tobacco And Nicotine Vapour Products|Londis Cowie|Active
Londis Craigmillar|72 Niddrie Mains Road,  EH16 4BG|EH16 4BG|Edinburgh City|Convenience Store|Tobacco Only|BM + LJ Dear|Active
Londis Dalbeattie|286-292 High Street,  DG5 4DJ|DG5 4DJ|Dumfries and Galloway|Convenience Store|Tobacco And Nicotine Vapour Products|Firm of P&R Hodgson|Active
Londis DYCE|Spar Stores, 161 Victoria Street, Dyce AB21 7DL|AB21 7DL|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|PREMIER DYCE LTD|Inactive
Londis ferry road |77 Ferry Road,  EH6 4AQ|EH6 4AQ|Edinburgh City|Forecourt Garage|Tobacco And Nicotine Vapour Products|Simarjitltd ltd|Active
LONDIS GORGE STREET|LONDIS, 569 George Street AB25 3XX|AB25 3XX|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|PREMIER DYCE LTD|Active
londis hawick|7 sandbed, hawick TD9 0HE|TD9 0HE|Scottish Borders|Convenience Store|Tobacco Only|londis hawick ta mervyn jones|Inactive
Londis Holytown|141-143 Main Street,  ML1 4TW|ML1 4TW|North Lanarkshire|Off-Licence|Tobacco Only|Londis Holytown|Inactive
Londis Inveraray|Arch Filling Station, Dalmally Road PA32 8XD|PA32 8XD|Argyll and Bute|Convenience Store|Tobacco And Nicotine Vapour Products|Brian McCaughey T/A Londis Inveraray|Active
Londis Kings Street|A & C Smart, 314 King Street AB24 5BJ|AB24 5BJ|Aberdeen City|Convenience Store|Tobacco And Nicotine Vapour Products|PREMIER DYCE LTD|Active
londis milngavie|34 craigash road, milngavie G61 3AP|G61 3AP|East Dunbartonshire|Convenience Store|Tobacco Only|londis milngavie|Active
Londis Newdyke|Londis , 4 Newdyke Road, Kirkintilloch G66 2PX|G66 2PX|East Dunbartonshire|Convenience Store|Tobacco And Nicotine Vapour Products|Kirky Stores|Active
LONDIS PARKHOUSE|109 CROWHILL ST, PARKHOUSE G22 6DW|G22 6DW|Glasgow City|Convenience Store|Tobacco Only|LONDIS PARKHOUSE|Active
LONDIS RAMSAY CRESANT|LONDIS, 19-25 Ramsay Crescent AB10 7BL|AB10 7BL|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|PREMIER DYCE LTD|Active
Londis Stenhousemuir|324-336 Main street,  FK5 3JR|FK5 3JR|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|ART Retail Ltd|Active
londis stoneykirk|hillands garage, stoneykirk DG9 9DH|DG9 9DH|Dumfries and Galloway|Convenience Store|Tobacco Only|londis stoneykirk|Active
Londis Store|6 Coronation Street, Carstairs Junction ML11 8QY|ML11 8QY|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Londis Store|Active
Londis T/a The Handy Stores|3 Mclennan Street, Mount Florida G42 9DH|G42 9DH|Glasgow City|Convenience Store|Tobacco Only|Londis|Active
Londis Union street|Londis Supermarket, 17 Union Street AB11 5BU|AB11 5BU|Aberdeen City|Convenience Store|Tobacco And Nicotine Vapour Products|PREMIER DYCE LTD|Active
London road express|23-24 London road,  EH7 5AY|EH7 5AY|Edinburgh City|Off-Licence|Tobacco Only|London road express|Active
london street grocery|47 london street,  EH3 6LX|EH3 6LX|Edinburgh City|Convenience Store|Tobacco Only|london street grocery|Active
Lonenwell Garage|Alford,  AB33 8ED|AB33 8ED|Aberdeenshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|K&A Anderson|Active
Longforgan Newsagents + general store|105 Main Street, Longforgan DD2 5EW|DD2 5EW|Perth and Kinross|Convenience Store|Tobacco And Nicotine Vapour Products|Longforgan Newsagent + General Store|Active
Longforgan Village Shop|105 Main Street,  DD2 5EW|DD2 5EW|Perth and Kinross|Convenience Store|Tobacco Only|Longforgan Village Shop|Active
Longhaven Shop|Longhaven,  AB42 0NU|AB42 0NU|Aberdeenshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|Longhaven Shop|Inactive
longhaven shop|Longhaven, Peterhead, AB42,  AB42 0NU|AB42 0NU|Aberdeenshire|Convenience Store|Tobacco And Nicotine Vapour Products|longhaven shop|Active
Longmans Groceries|16 Main Street, Sorbie DG8 8EG|DG8 8EG|Dumfries and Galloway|Convenience Store|Tobacco Only|Longmans Groceries|Active
Longniddry|2B Elcho Road,  EH32 0LB|EH32 0LB|East Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
LONGNIDDRY VILLAGE SHOP|16, KITCHENER CRESCENT EH32 0LR|EH32 0LR|East Lothian|Confectionary / Tobacconist / Newsagents|Tobacco Only|LONGNIDDRY VILLAGE SHOP|Active
longridge post office|18, main street EH47 8AD|EH47 8AD|West Lothian|Confectionary / Tobacconist / Newsagents|Tobacco Only|longridge post office and newsagency|Inactive
Longrow Foodstores|66 Longrow, Campbelltown PA28 6DD|PA28 6DD|Argyll and Bute|Convenience Store|Tobacco Only|Longrow Foodstores|Inactive
LONGSIDE SHOP|26-28 MAIN STREET, LONGSIDE AB42 4XL|AB42 4XL|Aberdeenshire|Convenience Store|Tobacco And Nicotine Vapour Products|BAYGLEN LIMITED (LONGSIDE SHOP)|Active
Longstone Convenience Store|45-47 Longstone Road,  EH14 2BB|EH14 2BB|Edinburgh City|Convenience Store|Tobacco Only|Longstone Convenience Store|Inactive
Longstone convenience store|45/47 longstone road,  EH14 2BB|EH14 2BB|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Ginos Longstone limited|Inactive
Longstone Inn|36 Longstone Road,  EH14 2BH|EH14 2BH|Edinburgh City|Public House|Tobacco Only|Cherwell Tobacco|Active
Looks General Store|93a, Summerfield Road,  EH42 1NL|EH42 1NL|East Lothian|Convenience Store|Tobacco Only|Looks General Store|Active
Loony Tunes|31 logandale avenue, newmains ML2 9DZ|ML2 9DZ|North Lanarkshire|Mobile Trade|Tobacco Only|Scottsices|Active
Lo-Price|36 Main Street, Cambuslang G72 7ER|G72 7ER|South Lanarkshire|Convenience Store|Tobacco Only|Lo-Price|Inactive
LORD BODOS|3,Dublin Street,  EH1 3PG|EH1 3PG|Edinburgh City|Public House|Tobacco Only|Sanderson Vending Limited t/a Select Vending|Inactive
Lord Lounsdale|Lounsdale Road,  PA2 9DU|PA2 9DU|Renfrewshire|Public House|Tobacco Only|Mitchells & Butlers Retail No 1|Active
Lord of The Isles|Craobh Haven,  PA31 8UA|PA31 8UA|Argyll and Bute|Public House|Tobacco Only|Lord of The Isles|Active
Lorne Newsagent|73 Lorne Street,  EH6 8QG|EH6 8QG|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco Only|Lorne newsagant|Inactive
Losset Inn|1 Losset Road, Alyth PH11 8BT|PH11 8BT|Perth and Kinross|Public House|Tobacco Only|Losset Inn|Inactive
Lossiemouth|Couldardbank Road, Faroes Court IV31 6ED|IV31 6ED|Moray|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
Lossiemouth - Queen Street|80 Queen Street,  IV31 6PY|IV31 6PY|Moray|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
Lossiemouth Football Club Social Club|39-41, Macduff Street IV31 6ET|IV31 6ET|Moray|Private Club|Tobacco Only|Lossiemouth Football Club Social Club|Active
Lossiemouth Indoor Sports & Social Club|Market Cross, Queens Lane IV31 6DR|IV31 6DR|Moray|Sports Club|Tobacco Only|Lossiemouth Indoor Sports & Social Club|Active
lothian grocers|163 d, john street EH26 8AT|EH26 8AT|Midlothian|Confectionary / Tobacconist / Newsagents|Tobacco Only|lothian grocers|Active
Lothian Grocers|163 d John street ,  EH2 68A|EH2 68A|Midlothian|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Lothian Grocers|Active
Loudon Gowf Club|Newmilns Road,  KA4 8PA|KA4 8PA|East Ayrshire|Sports Club|Tobacco Only|Loudoun Gowf club|Active
Louis|6 Bay St,  PA14 5ED|PA14 5ED|Inverclyde|Other Catering|Tobacco Only|Louis|Active
Louise Scott|BALMAHA VILLAGE SHOP. BALMAHA, Balmaha G63 0JQ|G63 0JQ|Stirling|Convenience Store|Tobacco And Nicotine Vapour Products|Balmaha Village Shop (CRUACHAN DEVELOPMENTS LTD|Active
Louise Scott|BALMAHA VILLAGE SHOP. BALMAHA, Balmaha G63 0JQ|G63 0JQ|Stirling|Convenience Store|Tobacco And Nicotine Vapour Products|Balmaha Village Shop (CRUACHAN DEVELOPMENTS LTD|Inactive
Lounge Bar|4 Mounthooly Street,  ZE1 0BJ|ZE1 0BJ|Shetland Islands|Public House|Tobacco Only|Lounge Bar Ltd|Inactive
Lourenzos|12 St Margaret Street,  KY12 7PE|KY12 7PE|Fife|Nightclub|Tobacco Only|City Hotels (Dunfermline) Ltd|Active
lovats ltd|carnan,  HS8 5QX|HS8 5QX|Comhairle nan Eilean Siar|Supermarket and Other Retail Outlets|Tobacco Only|lovats ltd|Active
LOVATS LTD|WINFIELD WAY, BALIVANICH HS7 5LU|HS7 5LU|Comhairle nan Eilean Siar|Supermarket and Other Retail Outlets|Tobacco Only|lovats ltd|Active
Love desserts |82 Glasgow Road,  PA1 3PN|PA1 3PN|Renfrewshire|Other Retail|Nicotine Vapour Products Only|Love desserts ltd |Active
Love desserts |82 Glasgow Road,  PA1 3PN|PA1 3PN|Renfrewshire|Other Retail|Nicotine Vapour Products Only|Love desserts ltd |Active
Love desserts |82 Glasgow Road,  PA1 3PN|PA1 3PN|Renfrewshire|Other Retail|Nicotine Vapour Products Only|Love desserts ltd |Active
Love desserts |82 Glasgow Road,  PA1 3PN|PA1 3PN|Renfrewshire|Other Retail|Nicotine Vapour Products Only|Love desserts ltd |Active
loves convenience store ltd|7 Duke Street, Denny FK6 6DA|FK6 6DA|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|Loves Convenience Store LTD|Active
Loves Local|Loves Local, 124 Carnethie Street EH24 9AL|EH24 9AL|Midlothian|Convenience Store|Tobacco And Nicotine Vapour Products|AS3 Traiding ltd|Active
LOVES POLMONT|UNIT 3 GREENPARK DRIVE, POLMONT FK2 0LW|FK2 0LW|Falkirk|Confectionary / Tobacconist / Newsagents|Tobacco Only|LOVES|Inactive
Low Cost Supermarket|119-121 North High Street,  EH21 6JE|EH21 6JE|East Lothian|Convenience Store|Tobacco Only|ALISHAH ENTERPRISES|Active
LT GROCERS LTD|147 Crossloan Road, Govan G51 3NR|G51 3NR|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|F.A. Convenience stores Ltd|Active
Lucky|547/549 Coatbridge Road,  G69 7PQ|G69 7PQ|Glasgow City|Convenience Store|Tobacco Only|luckys offsales|Active
Lucky Stores|78 High Street,  DD10 8JF|DD10 8JF|Angus|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|IK Retails Ltd|Active
luckys offsales|16 southbridge st,  ML6 6JF|ML6 6JF|North Lanarkshire|Off-Licence|Tobacco Only|luckys offsales|Inactive
Luing Stores|Luing Stores, Cullipool PA34 4TX|PA34 4TX|Argyll and Bute|Convenience Store|Tobacco Only|Luing Stores|Active
Lulu|125b George Street,  EH2 4JN|EH2 4JN|Edinburgh City|Nightclub|Tobacco Only|Montpeliers Edinburgh Ltd|Active
Lumphanan Stores|3 Station Square,  AB31 4TE|AB31 4TE|Aberdeenshire|Convenience Store|Tobacco Only|Lumphanan Stores|Inactive
lumphanan stores|Post Office, 3 Station Square, Lumphanan AB31 4TE|AB31 4TE|Aberdeenshire|Convenience Store|Tobacco And Nicotine Vapour Products|Lumphanan stores|Active
Lumsden Garage|The Lumsden Garage, Main Street Lumsden AB54 4JP|AB54 4JP|Aberdeenshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|J & M Shirran |Inactive
Lumsden Garage|Lumsden Garage, Main Street, Lumsden AB54 4JP|AB54 4JP|Aberdeenshire|Convenience Store|Tobacco Only|FM Auto Repairs|Active
Lumsden Garage & Filling Station|Lumsden Garage, Lumsden AB54 4JP|AB54 4JP|Aberdeenshire|Forecourt Garage|Tobacco Only|Lumsden Garage & Filling Station|Inactive
Lumsdens Newsagents|3 South Hermitage Street, Newcastleton TD9 0QR|TD9 0QR|Scottish Borders|Confectionary / Tobacconist / Newsagents|Tobacco Only|Lumsdens Newsagents Ltd|Inactive
lunans newsagents|8-10 airlie street, alyth PH11 8AH|PH11 8AH|Perth and Kinross|Confectionary / Tobacconist / Newsagents|Tobacco Only|lunans newsagents|Active
lunchbox|327, main street G83 1RB|G83 1RB|West Dunbartonshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|lunch box|Active
Lunchbox|10 Muir Street,  ML3 6EP|ML3 6EP|South Lanarkshire|Other Catering|Tobacco Only|Lunchbox|Inactive
Luss Estates Office|Luss,  G83 8NY|G83 8NY|Argyll and Bute|Hotel|Tobacco Only|Luss Estates Company|Inactive
Luvians Bottle Shop|93 Bonnygate,  KY15 4LG|KY15 4LG|Fife|Off-Licence|Tobacco Only|Faval (cupar)Ltd|Active
Luvians Bottle Shop|66 Market Street,  KY16 9NT|KY16 9NT|Fife|Off-Licence|Tobacco Only|Faval (cupar)Ltd|Active
Luvians Ice Cream Parlour|86 Market Street,  KY16 9NT|KY16 9NT|Fife|Other Catering|Tobacco Only|Faval (cupar)Ltd|Active
Lynedoch Off Sales|16 Lynedoch Street,  PA15 4AB|PA15 4AB|Inverclyde|Off-Licence|Tobacco Only|Lynedoch Off Sales|Inactive
Lynedoch Offsales|16 Lynedoch Street,  PA15 4AB|PA15 4AB|Inverclyde|Off-Licence|Tobacco And Nicotine Vapour Products|Lynedoch Offsales|Inactive
Lynedoch Street Off Sales|Lynedoch Off Sales, 16 Lynedoch Street PA15 4AB|PA15 4AB|Inverclyde|Off-Licence|Tobacco And Nicotine Vapour Products|Lynedoch street Off Sales|Active
Lynne's Snax|12 flairs avenue,  DD11 5DY|DD11 5DY|Angus|Mobile Trade|Tobacco Only|Lynne's Snax|Active
LYNNS CONVENIENCE STORE|76, LOCHLEVEN ROAD KY5 8DA|KY5 8DA|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|LYNNS CONVENIENCE STORE|Active
Lyn's Wee Shop|25 Avon Crescent, Glassford ML10 6TP|ML10 6TP|South Lanarkshire|Mobile Trade|Tobacco Only|Lyn's Wee Shop|Inactive
Lyoncross Newsagents|48 Lyoncross Road, Pollock G53 5UW|G53 5UW|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|Lyoncross Post Office & Newsagents|Active
M & A Brothers|83 Braidwood road,  ML8 5NU|ML8 5NU|South Lanarkshire|Convenience Store|Tobacco Only|M & A Brothers|Inactive
M & A Newsagents|25a Taymouth Road, Gilston Park, Polmont FK2 0PF|FK2 0PF|Falkirk|Convenience Store|Tobacco Only|M & A Newsagents|Inactive
